test,0.081,0.245,0.164,0.14,0.231,0.091,0.097,0.229,0.132,0.092,0.22,0.128,0.103,0.33,0.227,0.125,0.283,0.158,0.107,0.202,0.095,0.117,0.117,0,0.123,0.37,0.247,0.111,0.196,0.085,0.09,0.151,0.061,0.099,0.141,0.042,0.102,0.23,0.128,0.158,0.288,0.13,0.129,0.302,0.173,0.147,0.157,0.01,0.071,0.119,0.048,0.128,0.112,-0.016,0.062,0.175,0.113,0.095,0.173,0.078,0.142,0.194,0.052,0.123,0.22,0.097,0.089,0.266,0.177,0.134,0.272,0.138,0.102,0.198,0.096,0.128,0.174,0.046,0.096,0.194,0.098,0.097,0.437,0.34,0.075,0.426,0.351,0.128,0.16,0.032,0.083,0.186,0.103,0.111,0.191,0.08,0.127,0.183,0.056,0.083,0.2,0.117,0.106,0.099,-0.007,1.387,1.805,0.418,0.1,0.122,0.022,0.128,0.222,0.094,0.128,0.188,0.06,0.124,0.269,0.145,0.1,0.234,0.134,0.101,0.18,0.079,0.095,0.448,0.353,0.112,0.4,0.288,0.1,0.292,0.192,0.133,0.145,0.012,0.097,0.218,0.121,0.1,0.244,0.144,0.129,0.228,0.099,0.109,0.172,0.063,0.084,0.175,0.091,0.111,0.18,0.069,0.127,0.231,0.104,0.103,0.473,0.37,0.139,0.249,0.11,0.098,0.187,0.089,0.154,0.208,0.054,0.146,0.186,0.04,0.118,0.202,0.084,0.125,0.114,-0.011,0.138,0.401,0.263,0.145,0.217,0.072,0.087,0.306,0.219,0.146,1.073,0.927,0.089,0.314,0.225,0.097,0.196,0.099,0.112,0.152,0.04,0.093,0.093,0,0.154,0.209,0.055,0.096,0.493,0.397,0.117,0.287,0.17,0.118,0.515,0.397,0.072,0.309,0.237,0.111,0.175,0.064,0.117,0.211,0.094,0.113,0.141,0.028,0.121,0.23,0.109,0.144,0.191,0.047,0.199,0.312,0.113,0.142,0.74,0.598,0.139,0.377,0.238,0.128,0.254,0.126,0.127,0.112,-0.015,0.08,0.24,0.16,0.117,0.23,0.113,0.064,0.168,0.104,0.088,0.115,0.027,0.101,0.106,0.005,0.125,0.204,0.079,0.15,0.149,-0.001,0.097,0.418,0.321,0.111,0.24,0.129,0.202,0.426,0.224,0.096,0.521,0.425,0.16,0.222,0.062,0.102,0.262,0.16,0.135,0.197,0.062,0.144,0.192,0.048,0.128,0.208,0.08,0.142,0.508,0.366,0.112,0.225,0.113,0.081,0.208,0.127,0.112,0.271,0.159,0.097,0.193,0.096,0.126,0.453,0.327,0.116,0.192,0.076,0.111,0.159,0.048,0.112,0.08,-0.032,0.111,0.237,0.126,3.075,3.866,0.791,0.126,0.126,0,0.078,0.246,0.168,0.111,0.224,0.113,0.144,0.238,0.094,0.192,0.207,0.015,0.16,0.537,0.377,0.111,0.568,0.457,0.142,0.213,0.071,0.114,0.24,0.126,0.105,0.147,0.042,0.121,0.249,0.128,0.145,0.234,0.089,0.085,0.149,0.064,0.135,0.246,0.111,0.096,0.113,0.017,0.127,0.167,0.04,0.065,0.177,0.112,0.141,0.08,-0.061,0.125,0.188,0.063,0.109,0.181,0.072,0.129,0.303,0.174,0.129,0.25,0.121,0.175,0.207,0.032,0.12,0.99,0.87,0.112,0.446,0.334,0.111,0.128,0.017,0.113,0.176,0.063,0.154,0.137,-0.017,0.113,0.239,0.126,0.144,0.353,0.209,0.127,0.143,0.016,0.096,0.114,0.018,0.138,0.187,0.049,0.158,0.095,-0.063,0.119,0.205,0.086,0.08,0.217,0.137,0.136,0.335,0.199,0.19,0.335,0.145,0.13,0.158,0.028,0.11,0.215,0.105,0.144,0.239,0.095,0.094,0.151,0.057,0.109,0.169,0.06,0.087,0.165,0.078,0.145,0.097,-0.048,0.127,0.216,0.089,0.116,0.176,0.06,0.096,0.127,0.031,0.13,0.322,0.192,0.216,0.2,-0.016,0.11,0.223,0.113,0.109,0.25,0.141,0.08,1.385,1.305,0.142,0.499,0.357,0.114,0.21,0.096,0.847,0.865,0.018,0.136,0.269,0.133,0.059,0.289,0.23,0.143,0.272,0.129,0.095,0.191,0.096,0.157,0.163,0.006,0.141,0.111,-0.03,0.128,0.192,0.064,0.136,0.168,0.032,0.079,0.159,0.08,0.158,0.241,0.083,0.117,0.389,0.272,0.22,0.397,0.177,0.095,0.326,0.231,0.163,0.178,0.015,0.102,0.175,0.073,0.093,0.11,0.017,0.088,0.156,0.068,0.124,0.157,0.033,0.132,0.133,0.001,0.109,0.223,0.114,0.177,0.145,-0.032,0.143,0.254,0.111,0.089,0.163,0.074,0.14,0.238,0.098,0.142,0.079,-0.063,0.094,0.222,0.128,0.144,0.126,-0.018,0.159,0.343,0.184,0.127,0.223,0.096,0.143,0.35,0.207,0.175,0.629,0.454,0.079,0.192,0.113,0.064,0.215,0.151,0.096,0.117,0.021,0.123,0.139,0.016,0.096,0.223,0.127,0.091,0.185,0.094,0.096,0.423,0.327,0.128,0.193,0.065,0.095,0.241,0.146,0.131,0.147,0.016,0.093,0.109,0.016,0.113,0.176,0.063,0.144,0.168,0.024,0.103,0.28,0.177,0.128,0.08,-0.048,0.097,0.196,0.099,0.128,0.191,0.063,0.127,0.127,0,0.104,0.049,-0.055,0.114,0.302,0.188,0.097,0.224,0.127,0.083,0.14,0.057,0.104,0.224,0.12,0.128,0.265,0.137,0.082,0.353,0.271,0.103,0.23,0.127,0.145,0.348,0.203,3.296,3.634,0.338,0.112,0.315,0.203,0.094,0.22,0.126,0.169,0.127,-0.042,0.104,0.339,0.235,0.093
27_F_12:06,0.212,1.408,1.196,0.202,1.79,1.588,0.158,2.857,2.699,0.141,1.877,1.736,0.131,1.005,0.874,0.175,2.331,2.156,0.235,1.24,1.005,0.142,1.777,1.635,0.159,1.47,1.311,0.241,1.1,0.859,0.154,0.235,0.081,0.145,3.504,3.359,0.159,0.691,0.532,0.153,1.396,1.243,0.159,1.711,1.552,0.203,1.369,1.166,0.197,0.616,0.419,0.169,0.767,0.598,0.149,0.458,0.309,0.158,3.032,2.874,0.186,0.491,0.305,0.179,0.71,0.531,0.158,1.319,1.161,0.164,0.387,0.223,0.161,0.656,0.495,0.173,0.818,0.645,0.166,0.558,0.392,0.132,0.56,0.428,0.125,3.371,3.246,0.176,2.005,1.829,0.183,0.805,0.622,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29_M_13:06,0.199,0.458,0.259,0.192,1.961,1.769,0.143,0.561,0.418,0.12,1.059,0.939,0.149,0.153,0.004,0.111,0.727,0.616,0.137,0.911,0.774,0.121,1.181,1.06,0.115,1.066,0.951,0.1,0.171,0.071,0.107,0.386,0.279,0.154,0.198,0.044,0.104,0.827,0.723,0.105,0.759,0.654,0.148,0.218,0.07,0.131,0.169,0.038,0.127,0.567,0.44,0.125,0.277,0.152,0.078,1.093,1.015,0.133,0.481,0.348,0.109,0.645,0.536,0.105,0.511,0.406,0.104,0.245,0.141,0.117,0.568,0.451,0.113,0.151,0.038,0.122,0.257,0.135,0.104,0.543,0.439,0.117,1.08,0.963,0.115,0.128,0.013,0.108,0.559,0.451,0.111,0.527,0.416,0.093,0.258,0.165,0.093,0.228,0.135,0.094,0.326,0.232,0.086,0.755,0.669,0.093,0.18,0.087,0.106,0.943,0.837,0.121,0.38,0.259,0.098,0.416,0.318,0.104,0.741,0.637,0.098,0.163,0.065,0.126,0.356,0.23,0.13,1.413,1.283,0.113,0.162,0.049,0.103,1.187,1.084,0.126,0.328,0.202,0.098,0.488,0.39,0.105,0.293,0.188,0.082,0.507,0.425,0.087,0.2,0.113,0.096,0.807,0.711,0.104,0.912,0.808,0.099,0.547,0.448,0.104,0.325,0.221,0.093,0.226,0.133,0.112,0.392,0.28,0.11,0.166,0.056,0.13,0.42,0.29,0.119,0.213,0.094,0.144,0.325,0.181,0.115,0.437,0.322,0.109,0.371,0.262,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F_12_26,0.141,0.835,0.694,0.19,0.535,0.345,0.189,0.284,0.095,0.157,0.424,0.267,0.11,0.344,0.234,0.189,0.283,0.094,5.581,6.982,1.401,0.187,0.282,0.095,0.142,0.924,0.782,0.152,0.958,0.806,0.162,0.204,0.042,0.127,0.792,0.665,0.157,0.392,0.235,0.173,0.473,0.3,0.158,0.806,0.648,0.172,0.219,0.047,1.765,2.066,0.301,0.188,0.348,0.16,0.172,0.392,0.22,0.172,1.321,1.149,0.158,0.253,0.095,0.142,0.333,0.191,0.189,0.41,0.221,0.189,0.283,0.094,0.141,0.675,0.534,0.109,0.172,0.063,0.125,0.297,0.172,0.157,1.274,1.117,0.157,1.042,0.885,0.172,0.234,0.062,0.11,0.268,0.158,0.174,0.315,0.141,0.174,0.377,0.203,0.189,0.459,0.27,0.157,0.36,0.203,0.158,1.619,1.461,0.132,0.471,0.339,0.142,0.252,0.11,0.156,0.425,0.269,0.142,0.315,0.173,0.125,0.427,0.302,0.142,0.173,0.031,0.111,0.361,0.25,0.172,1.153,0.981,0.156,0.98,0.824,0.143,0.284,0.141,0.174,0.38,0.206,0.204,0.567,0.363,0.173,0.348,0.175,0.189,0.333,0.144,0.142,0.283,0.141,0.189,0.259,0.07,0.181,0.401,0.22,0.188,0.598,0.41,0.158,0.441,0.283,0.141,0.282,0.141,0.14,0.407,0.267,0.173,0.299,0.126,0.14,0.469,0.329,0.189,0.362,0.173,0.172,1.381,1.209,0.19,0.221,0.031,0.158,1.459,1.301,0.156,1.707,1.551,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F_13_19,0.278,0.169,-0.109,0.234,1.11,0.876,0.187,0.265,0.078,0.188,0.328,0.14,3.299,3.924,0.625,0.172,0.468,0.296,0.25,0.141,-0.109,0.203,0.672,0.469,0.156,2.174,2.018,0.188,0.344,0.156,0.141,0.172,0.031,0.141,0.188,0.047,0.203,0.297,0.094,0.187,0.172,-0.015,0.187,0.5,0.313,0.222,0.281,0.059,0.172,0.157,-0.015,0.203,0.25,0.047,0.203,0.234,0.031,0.172,2.235,2.063,0.172,0.203,0.031,0.172,0.438,0.266,0.218,0.547,0.329,0.281,0.187,-0.094,0.219,0.532,0.313,0.203,0.109,-0.094,0.297,0.234,-0.063,0.204,0.216,0.012,0.222,0.331,0.109,0.219,0.251,0.032,0.25,0.187,-0.063,0.203,0.36,0.157,0.234,0.203,-0.031,0.203,0.359,0.156,0.281,0.516,0.235,0.172,2.281,2.109,0.141,0.313,0.172,0.156,0.36,0.204,0.156,0.421,0.265,0.219,0.328,0.109,0.172,0.516,0.344,0.234,0.141,-0.093,0.218,0.187,-0.031,0.203,1.643,1.44,0.204,0.235,0.031,0.219,0.313,0.094,0.203,0.328,0.125,1.266,1.876,0.61,0.265,0.156,-0.109,0.172,0.469,0.297,0.25,0.187,-0.063,0.172,0.47,0.298,0.219,1.375,1.156,0.172,0.453,0.281,0.235,1,0.765,0.11,0.627,0.517,0.156,0.406,0.25,0.203,0.172,-0.031,0.266,0.203,-0.063,0.203,0.157,-0.046,0.172,0.609,0.437,0.219,1.188,0.969,0.203,0.297,0.094,0.156,1.5,1.344,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_14_17,0.125,0.156,0.031,0.11,0.282,0.172,0.125,0.265,0.14,0.11,0.469,0.359,0.141,0.109,-0.032,0.141,0.36,0.219,0.125,0.125,0,0.156,0.782,0.626,0.11,0.297,0.187,0.094,0.125,0.031,0.125,0.141,0.016,0.125,0.282,0.157,0.109,0.14,0.031,0.157,0.563,0.406,0.125,0.188,0.063,0.125,0.14,0.015,0.11,0.157,0.047,0.125,0.172,0.047,0.172,0.829,0.657,0.14,0.109,-0.031,0.141,0.25,0.109,0.094,0.406,0.312,0.11,0.203,0.093,0.125,0.782,0.657,0.11,0.172,0.062,0.141,0.141,0,0.156,0.172,0.016,0.156,0.719,0.563,0.14,0.093,-0.047,0.11,0.25,0.14,0.141,0.266,0.125,0.094,0.172,0.078,0.11,0.204,0.094,0.171,0.171,0,0.094,0.829,0.735,0.125,0.109,-0.016,0.094,0.547,0.453,0.812,1.219,0.407,0.109,0.302,0.193,0.119,0.245,0.126,0.125,0.218,0.093,0.125,0.61,0.485,0.156,1.235,1.079,0.11,0.5,0.39,0.125,0.079,-0.046,0.14,0.25,0.11,0.125,2.328,2.203,0.141,0.203,0.062,0.141,0.141,0,0.125,0.547,0.422,0.125,0.235,0.11,0.156,0.125,-0.031,0.125,0.594,0.469,0.1,0.219,0.119,0.094,0.172,0.078,0.125,0.172,0.047,0.172,0.14,-0.032,0.141,0.219,0.078,0.078,0.063,-0.015,0.109,0.5,0.391,0.156,0.078,-0.078,0.109,0.251,0.142,0.109,3.002,2.893,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.095,0.21,0.115,0.139,0.124,-0.015,0.093,0.159,0.066,0.092,0.173,0.081,0.094,0.204,0.11,0.127,0.111,-0.016,0.095,0.179,0.084,0.093,0.074,-0.019,0.098,0.223,0.125,0.116,0.143,0.027,0.096,0.16,0.064,0.094,0.11,0.016,0.095,0.095,0,0.126,0.142,0.016,0.104,0.103,-0.001,0.105,0.105,0,0.078,0.078,0,0.111,0.096,-0.015,0.1,0.158,0.058,0.126,0.173,0.047,1.031,1.44,0.409,0.08,0.159,0.079,0.112,0.206,0.094,0.08,0.145,0.065,0.093,0.217,0.124,0.116,0.116,0,0.078,0.11,0.032,0.126,0.157,0.031,0.127,1.096,0.969,0.11,0.206,0.096,0.08,0.144,0.064,0.094,0.157,0.063,0.096,0.127,0.031,0.11,0.205,0.095,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.094,0.225,0.131,0.173,0.319,0.146,0.107,0.219,0.112,0.11,0.268,0.158,0.064,0.282,0.218,0.112,0.31,0.198,0.089,2.213,2.124,0.096,0.268,0.172,0.112,0.239,0.127,0.111,0.142,0.031,0.143,0.27,0.127,8.488,8.881,0.393,0.144,0.807,0.663,0.145,0.191,0.046,0.113,0.15,0.037,0.137,0.105,-0.032,0.096,0.151,0.055,0.143,0.12,-0.023,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
